Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
Clientes / Marcas,TIPO DE CLIENTE:,CLIENTE DESDE:,RUBRO DE NEGOCIOS
CLIENTES CON SUS MARCAS,,,
CND:,ACTUAL,2010,
MICROEVENTOS PRESIDENTE,,,TRADE MARKETING
MICROEVENTOS THE ONE,,,TRADE MARKETING
MICROEVENTOS CORONA,,,TRADE MARKETING
HAPPY FREEZER,,,TRADE MARKETING
BARRA FRIA,,,TRADE MARKETING
TRUCK THE ONE,,,TRADE MARKETING
HAPPY BARRA,,,TRADE MARKETING
PEPSI TITAN,,,TRADE MARKETING
,,,
DISTRIBUIDORA CORRIPIO,ACTUAL,2011,
RH:,,,BTL
PRINGLES:,,,BTL
PREGO:,,,BTL
,,,
BANCO POPULAR ,ACTUAL,2008,BTL
APPS YAVA - GNIAL,,,
,,,
NESTLE:,ACTUAL,2016,
NESTLE - Impulso ,,,BTL
NESTLE - Nature Heart,,,BTL
NESTLE - Coffe Mate,,,BTL
NESTLE-Nesquik,,,BTL
NESTLE-NESCAFE,,,BTL
NESTLE BOCAO,,,EVENTOS
NESTLE - Maggi,,,BTL
NESTLE - Naturisimo,,,BTL
NESTLE - Nido ,,,BTL
NESTLE - Carnation ,,,BTL
NESTLE - Ideal,,,BTL
NESTKE- Kit Kat,,,BTL
Nestle Feria UGASA,,,EVENTOS
NESTLE - Nestum,,,BTL
,,,
LABORATORIOS AMADITA:,ACTUAL,2022,BTL
LAB. AMADITA - SUPER KIDS,,,EVENTOS
LAB. AMADITA RH,,,
,,,
TEXACO,ACTUAL,2018,EVENTOS
BANCO SANTA CRUZ,ACTUAL,2024,EVENTOS
MLB,ACTUAL,2024,EVENTOS
GRUPO PUNTA CANA,ACTUAL,2024,EVENTOS
ASOCIACION CIBAO DE AHORROS Y PREST.,ACTUAL,2024,EVENTOS
HUMANO SEGUROS,ACTUAL,2008,EVENTOS
INDUSTRIAS TUCAN,ACTUAL,2024,BTL
PEÑA IZQUIERDO,ACTUAL,2013,IMPRESIONES
BANCO VIMENCA,ACTUAL,2022,EVENTOS
REMESAS VIMENCA,ACTUAL,2021,EVENTOS
DATA VIMENCA,ACTUAL,2023,EVENTOS
RON BARCELO,POTENCIAL,2018,BTL
EMBAJADA DE PAISES BAJOS,POTENCIAL,2023,EVENTOS
MERCASID,POTENCIAL,2019,BTL
SUIPHAR,ACTUAL,2024,BTL
TD DOMINICANA,ACTUAL,2024,BTL
CESAR IGLESIAS,POTENCIAL,2023,BTL
BANCO DE RESERVAS,ACTUAL,2015,EVENTOS
INVERSIONES & RESERVAS,ACTUAL,2015,IMPRESIONES
AFP RESERVAS,ACTUAL,2014,EVENTOS
FUNDACION RESERVAS,ACTUAL,2023,MATERIAL PROMOCIONAL
SEGUROS BR,ACTUAL,2023,MATERIAL PROMOCIONAL
BANCO MULTIPLE CARIBE,ACTUAL,2024,EVENTOS
MAVERICK FOODS (MUNNE),ACTUAL,2024,BTL
PRODUCTOS CHEF,ACTUAL,2024,BTL
PORTAL,ACTUAL,2007,EVENTOS
SENASA,ACTUAL,2023,MEDIOS
RICA,POTENCIAL,2024,BTL
CASA PACO (PACO FISH),POTENCIAL,2024,BTL
MOTOR CREDITO,ACTUAL,2010,EVENTOS
CORTES / HNOS.,ACTUAL,2024,BTL
PRO DOMINICANA,ACTUAL,2023,EVENTOS
CONSULTORA LA COLECTIVA,ACTUAL,2023,EVENTOS
OTRO LEVEL,ACTUAL,2023,BTL
PERSIO ABREU,ACTUAL,2023,MATERIAL PROMOCIONAL
"GLOWTOUCH, SRL",ACTUAL,2023,MATERIAL PROMOCIONAL
PLAZA LAMA,POTENCIAL,2023,BTL
INESPRE,POTENCIAL,2023,MEDIOS
VIDA INTEGRA,POTENCIAL,2023,MATERIAL PROMOCIONAL
YO TAMBIEN PUEDO,POTENCIAL,2023,MATERIAL PROMOCIONAL
